Gesture_record,Body_part,Contact_recipient,Lateral_use,Repetition,Recording_number
Grab,Hand,TorsoBack,Unimanual,NA,R200039
GrabHold,Hand,TorsoBack,Unimanual,NA,R200040
LocomoteStiffWalk,Body,NA,NA,NA,R200858
StiffStance,Body,NA,NA,NA,R200859
LocomoteStiffWalk,Body,NA,NA,NA,R200860
Push,Fingers,Extremity,Unimanual,NA,R200889
Grab,Hand,Extremity,Unimanual,NA,R200890
Pull,Hand,Extremity,Unimanual,NA,R200891
StiffStance,Body,NA,NA,NA,R200893
Pull,Foot,Extremity,Unimanual,NA,R200109
HitObject,Foot,NA,Unimanual,Singular,R200110
Grab,Foot,Extremity,Unimanual,NA,R200111
HitSelf,Hand,NA,Bimanual,Repeated,R200192
Grab,Hand,Extremity,Unimanual,NA,R200621
ChestBeat,Hand,NA,Bimanual,Repeated,R200586
Stroke,Fingers,TorsoBack,Unimanual,NA,R200160
TouchLong,Hand,TorsoBack,NA,NA,R200161
Pull,Hand,Extremity,Unimanual,NA,R201101
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200676
StompObject,Foot,NA,Unimanual,Singular,R201136
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201137
Freeze,Body,NA,NA,NA,R200183
Raise,HandFoot,NA,NA,NA,R200184
Reach,Hand,NA,NA,NA,R201146
Push,Knuckles,Head,Unimanual,NA,R200347
GrabHold,Foot,TorsoFront,Unimanual,NA,R200415
Push,Foot,TorsoFront,Unimanual,NA,R200416
Push,Foot,TorsoFront,Unimanual,NA,R200791
Push,Foot,TorsoFront,Unimanual,NA,R200418
Push,Foot,TorsoFront,Unimanual,NA,R200419
Grab,Hand,Extremity,Unimanual,NA,R200417
HitObject,Hand,NA,Bimanual,Repeated,R200314
LocomoteStiffWalk,Body,NA,NA,NA,R203115
Grab,Hand,TorsoBack,Unimanual,NA,R201672
Pull,Hand,TorsoBack,Unimanual,NA,R201673
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201674
BumpInto,Body,TorsoBack,NA,NA,R200036
TouchLong,Arm,TorsoBack,NA,NA,R200861
LocomoteStiffWalk,Body,NA,NA,NA,R200149
Push,Knuckles,Extremity,Unimanual,NA,R200736
Push,Fingers,Extremity,Unimanual,NA,R200737
HitObject,Hand,NA,Unimanual,Singular,R200401
Fling,Arm,NA,Unimanual,NA,R200508
HeadStand,Body,NA,NA,NA,R200182
Push,Hand,Extremity,Unimanual,NA,R200614
Push,Hand,Extremity,Unimanual,NA,R200984
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R203346
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R203348
Shake,Head,NA,NA,Repeated,R203447
HitSelf,Hand,NA,Unimanual,Repeated,R203596
HitSelf,Hand,NA,Bimanual,Repeated,R203597
StompObject,Foot,NA,Unimanual,Singular,R203598
StompObject,Foot,NA,Unimanual,Repeated,R203599
HitRecipient,Hand,Extremity,Bimanual,Repeated,R203600
RollOver,Body,NA,NA,NA,R201300
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201301
SpinPirouette,Body,NA,NA,Singular,R200717
Reach,Hand,NA,NA,NA,R200330
Push,Hand,Head,Unimanual,NA,R200331
Reach,Hand,NA,NA,NA,R200332
HitObject,Hand,NA,Bimanual,Repeated,R200810
HitObject,Hand,NA,Bimanual,Repeated,R200811
BumpInto,Body,TorsoBack,NA,NA,R200864
HitObject,Fist,NA,Unimanual,Singular,R200866
Grab,Fingers,Extremity,Unimanual,NA,R200867
LocomoteGallop,Body,NA,NA,NA,R200868
Jab,Foot,TorsoBack,NA,NA,R200865
Pull,Hand,Extremity,Unimanual,NA,R201366
Touch,Hand,TorsoBack,NA,NA,R200172
Push,Knuckles,TorsoBack,Unimanual,NA,R200173
Embrace,Arm,Head,Unimanual,NA,R200041
GrabHold,Hand,TorsoBack,Unimanual,NA,R200043
Grab,Fingers,TorsoBack,Unimanual,NA,R200044
Grab,Fingers,Extremity,Unimanual,NA,R200045
Grab,Hand,Head,Unimanual,NA,R200042
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200193
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200194
Push,Foot,Extremity,Unimanual,NA,R200087
ObjectShake,Hand,NA,Unimanual,Singular,R200386
Lunge,Body,NA,NA,NA,R200387
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R203594
Reach,Hand,NA,NA,NA,R203595
HitRecipient,Hand,TorsoFront,Unimanual,Singular,R200715
HitRecipient,Hand,TorsoFront,Unimanual,Singular,R200774
Stroke,Hand,TorsoFront,Unimanual,NA,R200775
HitFake,Hand,NA,Unimanual,Singular,R200321
ObjectStance,Body,NA,NA,NA,R200716
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200322
SpinPirouette,Body,NA,NA,Singular,R200877
HitSelf,Hand,NA,Unimanual,Singular,R200878
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200879
OverStance,BodyChest,NA,NA,NA,R200863
Fling,Leg,NA,Unimanual,NA,R200641
LocomoteStiffWalk,Body,NA,NA,NA,R200642
StiffStance,Body,NA,NA,NA,R200643
PlaceOnObject,Hand,NA,NA,NA,R200644
LocomoteStiffWalk,Body,NA,NA,NA,R200645
LocomoteStiffWalk,Body,NA,NA,NA,R200647
HitObject,Hand,NA,Unimanual,Singular,R200649
StiffStance,Body,NA,NA,NA,R200650
ObjectMove,Hand,NA,Unimanual,NA,R200651
LocomoteStiffWalk,Body,NA,NA,NA,R200653
StompObject,Fist,NA,Unimanual,Singular,R200648
LocomoteStiffWalk,Body,NA,NA,NA,R200652
Push,Fingers,Extremity,Unimanual,NA,R200718
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201367
Reach,Hand,NA,NA,NA,R200876
Embrace,Arm,TorsoBack,Unimanual,NA,R200046
GrabHold,Hand,TorsoBack,Unimanual,NA,R200047
ObjectMove,Hand,NA,Unimanual,NA,R200818
ObjectMove,Hand,NA,Unimanual,NA,R200819
HitRecipient,Hand,TorsoBack,Bimanual,Repeated,R200336
Push,Hand,Extremity,Unimanual,NA,R200177
HitObject,Hand,NA,Bimanual,Singular,R202842
Touch,Hand,TorsoBack,NA,NA,R200407
Beckon,Arm,NA,NA,NA,R200408
StiffStance,Body,NA,NA,NA,R201248
Embrace,Arm,TorsoBack,Unimanual,NA,R203588
HitObject,Hand,NA,Bimanual,Singular,R202477
HitObject,Hand,NA,Bimanual,Singular,R202478
Reach,Hand,NA,NA,NA,R200957
Kiss,Mouth,TorsoBack,NA,NA,R200050
HitObject,Hand,NA,Bimanual,Repeated,R201985
Reach,Hand,NA,NA,NA,R200607
HitObject,Hand,NA,Bimanual,Repeated,R200824
HitObject,Hand,NA,Bimanual,Repeated,R200825
ObjectShake,Hand,NA,Unimanual,Singular,R200806
ObjectShake,Hand,NA,Unimanual,Singular,R200807
ObjectShake,Hand,NA,Unimanual,Repeated,R200808
StompObject,Foot,NA,Unimanual,Singular,R200809
ObjectShake,Hand,NA,Unimanual,Repeated,R200894
ObjectMove,Hand,NA,Unimanual,NA,R200895
HitRecipient,Arm,TorsoBack,Unimanual,Singular,R200896
Stroke,Fingers,TorsoBack,Unimanual,NA,R200059
Grab,Fingers,TorsoBack,Unimanual,NA,R200060
Bite,Mouth,Extremity,NA,NA,R200061
ObjectMove,Hand,NA,Unimanual,NA,R203586
HitSelf,Hand,NA,Unimanual,Repeated,R203587
Reach,Hand,NA,NA,NA,R200131
Touch,Hand,TorsoBack,NA,NA,R200132
Grab,Fingers,TorsoBack,Unimanual,NA,R200133
HitObject,Hand,NA,Bimanual,Repeated,R200307
ObjectMove,Hand,NA,Unimanual,NA,R200335
Fling,Arm,NA,Unimanual,NA,R200955
Reach,Hand,NA,NA,NA,R200956
Present,Body,NA,NA,NA,R200409
Push,Fingers,Extremity,Unimanual,NA,R200410
Push,Fingers,Extremity,Unimanual,NA,R200411
Push,Foot,Extremity,Unimanual,NA,R200962
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202490
OverStance,Arm,NA,NA,NA,R200995
TouchLong,Arm,TorsoBack,NA,NA,R201239
Pull,Hand,Extremity,Unimanual,NA,R200285
ObjectShake,Hand,NA,Unimanual,Repeated,R202479
HitSelf,Hand,NA,Unimanual,Repeated,R202480
Grab,Hand,TorsoFront,Unimanual,NA,R200427
LocomoteStiffRun,Body,NA,NA,NA,R201132
BumpInto,Body,TorsoFront,NA,NA,R200048
BumpInto,Body,TorsoFront,NA,NA,R200049
HitObject,Hand,NA,Unimanual,Singular,R202475
HitObject,Hand,NA,Unimanual,Singular,R202476
HitRecipient,Hand,TorsoBack,Unimanual,Singular,R200327
HitSelf,Hand,NA,Unimanual,Singular,R200328
Pull,Hand,TorsoFront,Unimanual,NA,R200329
LocomoteBipedal,Body,NA,NA,NA,R200118
HitObject,Hand,NA,Bimanual,Singular,R200120
ObjectMove,Hand,NA,Unimanual,NA,R200119
Push,Foot,TorsoFront,Unimanual,NA,R200412
LocomoteRecipient,Body,NA,NA,NA,R200286
StiffStance,Body,NA,NA,NA,R200704
GrabHold,Hand,TorsoBack,Unimanual,NA,R200122
BiteThreat,Mouth,NA,NA,NA,R200124
Push,Fingers,Extremity,Unimanual,NA,R200125
Push,Hand,Extremity,Unimanual,NA,R200126
BiteThreat,Mouth,NA,NA,NA,R200123
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200308
SpinPirouette,Body,NA,NA,Repeated,R201909
Push,Hand,Extremity,Unimanual,NA,R200127
SpinPirouette,Body,NA,NA,Singular,R200128
Swing,Arm,NA,Unimanual,Singular,R200129
Raise,Hand,NA,NA,NA,R200334
HitObject,Hand,NA,Unimanual,Singular,R200136
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200137
ObjectMove,Hand,NA,Bimanual,NA,R200135
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201662
SpinPirouette,Body,NA,NA,Repeated,R201663
SpinPirouette,Body,NA,NA,Singular,R200605
Push,Fingers,TorsoFront,Unimanual,NA,R200898
Push,Hand,Extremity,Unimanual,NA,R200899
ObjectMove,Hand,NA,Unimanual,NA,R201107
StiffStance,Body,NA,NA,NA,R201108
OverStance,Body,NA,NA,NA,R200719
GazeStance,Body,NA,NA,NA,R200968
GazeStance,Body,NA,NA,NA,R200969
Beckon,Hand,NA,NA,NA,R200970
Push,Fist,Extremity,Unimanual,NA,R200978
StompObject,Foot,NA,Unimanual,Singular,R200979
OverStance,Arm,NA,NA,NA,R200966
Present,Leg,NA,NA,NA,R200108
Push,Knuckles,TorsoBack,Unimanual,NA,R201285
Push,Fingers,Extremity,Unimanual,NA,R201286
Push,Fist,Extremity,Unimanual,NA,R201287
Present,Arm,NA,NA,NA,R200101
Pull,Hand,TorsoBack,Unimanual,NA,R200862
Push,Fingers,Extremity,Unimanual,NA,R201307
HitRecipient,Hand,TorsoBack,Bimanual,Repeated,R201308
Pull,Hand,TorsoBack,Unimanual,NA,R201916
Pull,Hand,TorsoBack,Unimanual,NA,R201917
Push,Arm,Extremity,Unimanual,NA,R200773
LocomoteStiffWalk,Body,NA,NA,NA,R200298
StiffStance,Body,NA,NA,NA,R200710
Push,Hand,TorsoBack,Unimanual,NA,R200299
BiteThreat,Mouth,NA,NA,NA,R201241
LocomoteStiffRun,Body,NA,NA,NA,R200834
StiffStance,Body,NA,NA,NA,R200835
Kiss,Mouth,Head,NA,NA,R200838
Kiss,Mouth,Head,NA,NA,R200839
ObjectStance,Body,NA,NA,NA,R200837
Raise,Hand,NA,NA,NA,R200052
Stroke,Hand,TorsoBack,Unimanual,NA,R200795
HitRecipientSoft,Hand,TorsoBack,Unimanual,Singular,R200796
Touch,Fingers,TorsoBack,NA,NA,R200797
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200817
SpinPirouette,Body,NA,NA,Repeated,R203316
Raise,Hand,NA,NA,NA,R200139
Beckon,Arm,NA,NA,NA,R200140
SpinRoulade,Body,NA,NA,Singular,R200142
StanceBipedal,Body,NA,NA,NA,R200138
SpinRoulade,Body,NA,NA,Singular,R200600
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200603
Grab,Hand,Head,Unimanual,NA,R200900
LocomoteStiffWalk,Body,NA,NA,NA,R203370
StiffStance,Body,NA,NA,NA,R203371
Present,Back,NA,NA,NA,R201135
Touch,Fingers,Extremity,NA,NA,R200971
Push,Fingers,Extremity,Unimanual,NA,R200972
Stroke,Fingers,Mouth,Unimanual,NA,R200973
Touch,Fingers,Mouth,NA,NA,R200976
ObjectMove,Hand,NA,Unimanual,NA,R203311
LocomoteGallop,Body,NA,NA,NA,R203312
Reach,Hand,NA,NA,NA,R200967
LocomoteStiffWalk,Body,NA,NA,NA,R201288
StiffStance,Body,NA,NA,NA,R201289
LocomoteStiffWalk,Body,NA,NA,NA,R201290
StiffStance,Body,NA,NA,NA,R201291
Grab,Hand,TorsoBack,Unimanual,NA,R201303
Stroke,Hand,TorsoBack,Unimanual,NA,R201304
GrabHold,Hand,TorsoBack,Unimanual,NA,R201305
Pull,Hand,Extremity,Unimanual,NA,R201306
HitRecipientSoft,Hand,Head,Unimanual,Repeated,R200186
HitRecipientSoft,Hand,Head,Unimanual,Repeated,R200187
Raise,Fist,NA,NA,NA,R200302
ObjectStance,Body,NA,NA,NA,R200301
ObjectMove,Hand,NA,Unimanual,NA,R201160
LocomoteStiffWalk,Body,NA,NA,NA,R201161
StiffStance,Body,NA,NA,NA,R201162
TouchLong,Hand,TorsoBack,NA,NA,R201163
LocomoteGallop,Body,NA,NA,NA,R200051
Raise,Hand,NA,NA,NA,R200840
Raise,Hand,NA,NA,NA,R200841
Touch,Hand,Extremity,NA,NA,R200843
Raise,Hand,NA,NA,NA,R200842
ObjectMove,Hand,NA,Bimanual,NA,R201084
StiffStance,Body,NA,NA,NA,R201085
Grab,Hand,TorsoFront,Unimanual,NA,R201363
HitRecipientSoft,Fingers,TorsoFront,Unimanual,Singular,R201364
Grab,Hand,TorsoFront,Unimanual,NA,R201365
LocomoteGallop,Body,NA,NA,NA,R200157
StiffStance,Body,NA,NA,NA,R200158
StiffStance,Body,NA,NA,NA,R200159
Bite,Mouth,Head,NA,NA,R201658
Bite,Mouth,Head,NA,NA,R201659
Bite,Mouth,Head,NA,NA,R201660
Grab,Hand,TorsoBack,Unimanual,NA,R201661
Pull,Hand,TorsoFront,Unimanual,NA,R200425
StiffStance,Body,NA,NA,NA,R200804
LocomoteStiffWalk,Body,NA,NA,NA,R200805
ObjectMove,Hand,NA,Unimanual,NA,R201134
ObjectMove,Hand,NA,Bimanual,NA,R201076
Fling,Arm,NA,Unimanual,NA,R201077
LocomoteStiffWalk,Body,NA,NA,NA,R201078
Grab,Hand,TorsoFront,Unimanual,NA,R200317
Grab,Hand,TorsoFront,Unimanual,NA,R200318
Grab,Hand,TorsoFront,Unimanual,NA,R200319
Pull,Hand,Head,Unimanual,NA,R200093
Push,Foot,Extremity,Unimanual,NA,R200735
Dangle,Body,NA,NA,NA,R202456
Dangle,Body,NA,NA,NA,R202457
Touch,Hand,TorsoFront,NA,NA,R201095
LocomoteStiffWalk,Body,NA,NA,NA,R203136
Reach,Hand,NA,NA,NA,R200333
Pull,Hand,TorsoBack,Unimanual,NA,R200638
Grab,Hand,TorsoBack,Unimanual,NA,R200640
Touch,Fingers,TorsoBack,NA,NA,R200639
Lunge,Body,NA,NA,NA,R200303
Beckon,Arm,NA,NA,NA,R202458
Pull,Hand,Extremity,Unimanual,NA,R202459
Grab,Hand,Extremity,Unimanual,NA,R202460
Push,Hand,Extremity,Unimanual,NA,R200619
Touch,Fingers,TorsoFront,NA,NA,R200620
HeadStand,Body,NA,NA,NA,R200057
HitRecipientSoft,Hand,Head,Unimanual,Singular,R201680
TouchLong,Hand,Head,NA,NA,R201681
Grab,Hand,Extremity,Unimanual,NA,R201682
Reach,Hand,NA,NA,NA,R200633
Reach,Hand,NA,NA,NA,R200634
TouchLong,Knuckles,TorsoBack,NA,NA,R200635
Grab,Hand,TorsoBack,Unimanual,NA,R200636
LayOn,Leg,TorsoBack,NA,NA,R200637
ObjectShake,Hand,NA,Bimanual,Repeated,R200115
Jab,Fist,Head,NA,NA,R200116
StiffStance,Body,NA,NA,NA,R200117
ObjectMove,Hand,NA,Unimanual,NA,R202495
HitSelf,Hand,NA,Unimanual,Repeated,R200287
GrabHold,Hand,Extremity,Unimanual,NA,R200312
Pull,Hand,Extremity,Unimanual,NA,R200320
Grab,Hand,Extremity,Bimanual,NA,R200907
TouchLong,Hand,TorsoFront,NA,NA,R200422
Push,Hand,Extremity,Unimanual,NA,R200423
Pull,Hand,TorsoFront,Unimanual,NA,R200424
Present,BodyChest,NA,NA,NA,R201657
Present,BodyChest,NA,NA,NA,R201243
Grab,Hand,Extremity,Unimanual,NA,R201648
Grab,Foot,Extremity,Unimanual,NA,R200420
ObjectShake,Hand,NA,Unimanual,Repeated,R201079
ObjectShake,Hand,NA,Bimanual,Singular,R201080
ObjectShake,Hand,NA,Bimanual,Singular,R201081
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200803
BumpInto,Body,TorsoBack,NA,NA,R203579
StiffStance,Body,NA,NA,NA,R203581
LocomoteStiffWalk,Body,NA,NA,NA,R203582
LocomoteStiffRun,Body,NA,NA,NA,R203584
ObjectStance,Body,NA,NA,NA,R203585
Shake,Head,NA,NA,Repeated,R203583
Reach,Arm,NA,NA,NA,R201118
BumpInto,Body,TorsoBack,NA,NA,R203116
Reach,Hand,NA,NA,NA,R200946
Reach,Hand,NA,NA,NA,R200947
BiteThreat,Mouth,NA,NA,NA,R201240
Pull,Hand,Extremity,Unimanual,NA,R201689
HitRecipientSoft,Hand,TorsoBack,Unclear,Repeated,R201691
Present,BodyFront,NA,NA,NA,R201690
HitObject,Hand,NA,Unclear,Repeated,R202455
HitRecipientSoft,Hand,TorsoFront,Bimanual,Repeated,R200094
HitObjectObject,Hand,NA,Unimanual,Singular,R201089
HitObject,Hand,NA,Unclear,Repeated,R201091
Touch,Knuckles,Extremity,NA,NA,R201092
Touch,Fingers,Extremity,NA,NA,R201093
Grab,Hand,TorsoBack,Unimanual,NA,R201094
HitObject,Foot,NA,Unimanual,Singular,R201090
ObjectMove,Hand,NA,Unimanual,NA,R201046
Touch,Fingers,Extremity,NA,NA,R200339
Grab,Fingers,Mouth,Unimanual,NA,R200340
Push,Hand,Extremity,Unimanual,NA,R200627
Push,Hand,Extremity,Unimanual,NA,R200628
Grab,Hand,TorsoFront,Unimanual,NA,R200629
Bite,Mouth,Extremity,NA,NA,R202461
HitTap,Fingers,Extremity,Unimanual,Singular,R203317
TouchLong,Arm,TorsoBack,NA,NA,R201988
Touch,Hand,TorsoBack,NA,NA,R200800
GrabHold,Hand,TorsoBack,Unimanual,NA,R200801
Push,Hand,Extremity,Unimanual,NA,R201121
BiteThreat,Mouth,NA,NA,NA,R201242
Pull,Hand,Extremity,Unimanual,NA,R200945
Pull,Hand,TorsoBack,Unimanual,NA,R200114
Reach,Hand,NA,NA,NA,R203578
ObjectMove,Hand,NA,Unimanual,NA,R202496
Touch,Hand,Mouth,NA,NA,R200802
StompObject,Foot,NA,Unimanual,Singular,R200902
Push,Hand,Extremity,Unimanual,NA,R200903
Pull,Hand,TorsoBack,Unimanual,NA,R200904
HitObject,Hand,NA,Unimanual,Singular,R200905
LocomoteStiffWalk,Body,NA,NA,NA,R200906
HitRecipient,Foot,TorsoFront,Unimanual,Repeated,R200113
Touch,Hand,TorsoBack,NA,NA,R201649
Push,Hand,TorsoBack,Unimanual,NA,R201650
ObjectMove,Hand,NA,Bimanual,NA,R200203
ObjectShake,Hand,NA,Bimanual,Repeated,R200204
HitObject,Hand,NA,Bimanual,Repeated,R201310
HitObject,Hand,NA,Bimanual,Repeated,R201311
Beckon,Arm,NA,NA,NA,R200566
HitObject,Hand,NA,Unimanual,Singular,R201984
Present,Back,NA,NA,NA,R203306
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201328
HitObject,Hand,NA,Unimanual,Repeated,R201329
HitObject,Hand,NA,Unimanual,Singular,R201330
HitObject,Hand,NA,Unimanual,Repeated,R201331
StiffStance,Body,NA,NA,NA,R201332
HitObject,Hand,NA,Unimanual,Repeated,R201333
HitSelf,Hand,NA,Unimanual,Repeated,R201335
HitSelf,Hand,NA,Unimanual,Repeated,R201338
HitObject,HandFoot,NA,Bimanual,Repeated,R201339
Dangle,Body,NA,NA,NA,R201334
Swing,Arm,NA,Unimanual,Repeated,R201336
Dangle,Body,NA,NA,NA,R201337
Push,Knuckles,TorsoBack,Unimanual,NA,R200199
Push,Hand,TorsoBack,Unimanual,NA,R200200
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201037
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202287
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201341
ObjectMove,Hand,NA,Unimanual,NA,R200570
HitObjectRecipient,Hand,NA,Unimanual,Singular,R200571
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201038
Pull,Hand,Extremity,Unimanual,NA,R201039
StompObject,Foot,NA,Unimanual,Singular,R201040
HitRecipientSoft,Hand,Head,Unimanual,Repeated,R203078
Pull,Hand,Extremity,Unimanual,NA,R200079
Present,Leg,NA,NA,NA,R200179
Present,Leg,NA,NA,NA,R200180
Present,BodyFront,NA,NA,NA,R202486
HitObject,Hand,NA,Bimanual,Repeated,R200585
Fling,Arm,NA,Bimanual,NA,R201309
HeadStand,Body,NA,NA,NA,R200729
ObjectMove,Hand,NA,Unimanual,NA,R201034
StiffStance,Body,NA,NA,NA,R201035
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200572
HitObject,Hand,NA,Unimanual,Singular,R200573
Swing,Leg,NA,Unimanual,Singular,R200576
HitObject,Hand,NA,Bimanual,Singular,R200577
HitSelf,Hand,NA,Unclear,Repeated,R200578
StompObject,Foot,NA,Unimanual,Singular,R200579
HitObject,Hand,NA,Bimanual,Repeated,R200581
Swing,Arm,NA,Unimanual,Singular,R200582
Swing,Leg,NA,Unimanual,Repeated,R200575
HitObject,Hand,NA,Bimanual,Repeated,R200580
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200591
HitObject,Hand,NA,Bimanual,Repeated,R200590
Kiss,Mouth,TorsoFront,NA,NA,R200073
HitObject,HandFoot,NA,Unclear,Repeated,R201312
HitObject,HandFoot,NA,Unclear,Repeated,R201313
Pull,Hand,TorsoBack,Unimanual,NA,R201314
Pull,Hand,TorsoBack,Unimanual,NA,R201315
BiteThreat,Mouth,NA,NA,NA,R200599
Bite,Mouth,TorsoBack,NA,NA,R200601
TouchLong,Hand,TorsoBack,NA,NA,R200402
Present,Leg,NA,NA,NA,R200080
HitRecipientSoft,Fingers,TorsoBack,Unimanual,Singular,R200081
LeanIn,BodyChest,TorsoBack,NA,NA,R200070
OverStance,Arm,NA,NA,NA,R200072
BodyCross,Arm,NA,NA,NA,R200071
Embrace,Arm,Head,Unimanual,NA,R200197
HitObject,Hand,NA,Unimanual,Repeated,R201025
HitSelf,Hand,NA,Unimanual,Repeated,R201026
ObjectMove,Body,NA,NA,NA,R201027
StompObject,Foot,NA,Unimanual,Singular,R201028
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200587
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201021
Reach,Hand,NA,NA,NA,R201022
HitSelf,Hand,NA,Unimanual,Singular,R201023
ObjectMove,Hand,NA,Unimanual,NA,R201024
Push,Arm,Head,Unimanual,NA,R200076
Push,Knuckles,Head,Unimanual,NA,R200077
Push,Hand,TorsoBack,Unimanual,NA,R200074
IndMove,Hand,NA,NA,NA,R200588
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201041
Shake,Head,NA,NA,Singular,R201042
HitObject,Hand,NA,Unimanual,Singular,R201043
Push,Hand,Head,Unimanual,NA,R200195
Pull,Hand,Extremity,Unimanual,NA,R200596
Grab,Fingers,Extremity,Unimanual,NA,R200597
Push,Fingers,Extremity,Unimanual,NA,R200598
HitSelf,Hand,NA,Unimanual,Repeated,R201016
HitSelf,Hand,NA,Unimanual,Repeated,R201017
ObjectMove,Hand,NA,Unimanual,NA,R201018
Dangle,Body,NA,NA,NA,R201019
HitSelf,Hand,NA,Unimanual,Repeated,R201020
HitRecipient,Hand,Mouth,Unimanual,Singular,R201348
HeadStand,Body,NA,NA,NA,R201349
Push,Foot,Extremity,Unimanual,NA,R201350
Grab,Hand,TorsoBack,Unimanual,NA,R200787
GrabHold,Hand,TorsoBack,Unimanual,NA,R200725
LayOn,Leg,TorsoBack,NA,NA,R200178
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201036
Embrace,Arm,TorsoBack,Unimanual,NA,R200403
Stroke,Fingers,TorsoBack,Unimanual,NA,R200568
Grab,Hand,TorsoBack,Unimanual,NA,R200788
Grab,Fingers,Extremity,Unimanual,NA,R200789
Grab,Hand,Extremity,Unimanual,NA,R200413
Touch,Knuckles,TorsoBack,NA,NA,R200790
ObjectMove,Hand,NA,Unimanual,NA,R202583
HitRecipient,Arm,Head,Unimanual,Singular,R202584
ObjectShake,Hand,NA,Bimanual,Repeated,R202585
BumpInto,Body,TorsoBack,NA,NA,R202861
Embrace,Arm,TorsoBack,Unimanual,NA,R202704
Kiss,Mouth,Mouth,NA,NA,R202862
Kiss,Mouth,Mouth,NA,NA,R202863
Kiss,Mouth,Mouth,NA,NA,R202864
Reach,Hand,NA,NA,NA,R203455
Grab,Hand,TorsoBack,Unimanual,NA,R203456
Touch,Hand,TorsoBack,NA,NA,R203441
Stroke,Hand,TorsoBack,Unimanual,NA,R203442
GrabHold,Hand,TorsoBack,Unimanual,NA,R203443
Grab,Hand,TorsoBack,Unimanual,NA,R203444
Bite,Mouth,TorsoFront,NA,NA,R203464
LocomoteStiffRun,Body,NA,NA,NA,R202646
Push,Hand,Extremity,Unimanual,NA,R202972
Present,Leg,NA,NA,NA,R202544
Push,Hand,Extremity,Unimanual,NA,R202545
Lunge,Body,NA,NA,NA,R202500
GazeStance,Body,NA,NA,NA,R203674
Reach,Hand,NA,NA,NA,R202692
TouchLong,Hand,TorsoBack,NA,NA,R202693
GazeStance,Body,NA,NA,NA,R203675
HitObject,Hand,NA,Unimanual,Singular,R203676
Lunge,Body,NA,NA,NA,R203677
Fling,Arm,NA,Unimanual,NA,R202982
LocomoteStiffRun,Body,NA,NA,NA,R203064
Jab,Foot,Extremity,NA,NA,R203065
Jab,Foot,TorsoBack,NA,NA,R203066
Touch,Hand,Extremity,NA,NA,R202866
Embrace,Arm,TorsoBack,Unimanual,NA,R202702
Touch,Hand,TorsoBack,NA,NA,R202703
Touch,Knuckles,Extremity,NA,NA,R202865
Embrace,Arm,TorsoBack,Unimanual,NA,R203445
GazeStance,Body,NA,NA,NA,R203446
LocomoteStiffWalk,Body,NA,NA,NA,R203448
Fling,Hand,NA,Unimanual,NA,R203449
Raise,Hand,NA,NA,NA,R203450
HitTap,Hand,TorsoBack,Unimanual,Singular,R203451
Grab,Hand,TorsoBack,Unimanual,NA,R203452
HitTap,Fingers,TorsoBack,Unimanual,Singular,R203453
HitRecipient,Hand,Extremity,Unimanual,Singular,R203454
GazeStance,Body,NA,NA,NA,R203546
Kiss,Mouth,Extremity,NA,NA,R203462
Embrace,Arm,Head,Unimanual,NA,R203463
Embrace,Arm,TorsoBack,Unimanual,NA,R203067
Grab,Hand,Extremity,Unimanual,NA,R203068
Present,Back,NA,NA,NA,R201810
Present,Back,NA,NA,NA,R201811
LocomoteStiffWalk,Body,NA,NA,NA,R202572
StiffStance,Body,NA,NA,NA,R202573
BiteThreat,Mouth,NA,NA,NA,R202649
LocomoteStiffWalk,Body,NA,NA,NA,R203470
Present,Leg,NA,NA,NA,R202682
Present,BodyChest,NA,NA,NA,R202845
